cal_per_gesture,patient,n_cal,n_test,lda_acc,po_hgb_acc,gm_cal_acc
36,patient35,432,117,0.5384615384615384,0.6581196581196581,0.7094017094017094
36,patient36,432,117,0.8974358974358975,0.9743589743589743,0.9401709401709402
36,patient37,432,117,0.9316239316239316,1.0,0.9829059829059829
36,patient38,432,117,0.9572649572649573,0.9914529914529915,0.8547008547008547
36,patient39,432,117,0.8376068376068376,0.8717948717948718,0.8803418803418803
36,patient40,432,117,0.9230769230769231,0.9316239316239316,0.9572649572649573
36,patient41,432,117,0.3504273504273504,0.5299145299145299,0.6324786324786325
36,patient42,432,117,0.8974358974358975,0.9401709401709402,0.8888888888888888
36,patient43,432,117,0.8632478632478633,0.9487179487179487,0.9743589743589743
36,patient44,432,117,0.8461538461538461,0.9316239316239316,0.9487179487179487
36,patient45,432,117,0.7521367521367521,0.9230769230769231,0.8376068376068376
36,patient46,432,117,0.8290598290598291,0.9487179487179487,0.8632478632478633
36,patient47,432,117,0.8803418803418803,0.9572649572649573,0.9829059829059829
36,patient48,432,117,0.7008547008547008,0.8376068376068376,0.9316239316239316
